abajo	debajo
formar	construir
formar	efectuar
formar	ejecutar
formar	elaborar
formar	fabricar
foto	fotografía
foto	imagen
fotografía	imagen
franco	leal
franquear	exonerar
franquear	perdonar
fregadero	pila
fresa	frutilla
fresco	helado
fresco	refrescante
frijól	caraota
frijól	habichuela
fronteras	frontera
frío	helado
fuego	incendio
fuego	llama
fuente	nacimiento
fuente	origen
fuente	principio
fuente	procedencia
fuente	raíz
fuerza	poder
fugas	fuga
funcionar	actuar
funcionar	afanar
funcionar	ejecutar
funcionar	elaborar
funcionar	operar
funcionar	trabajar
función	oficio
función	papel
función	propósito
fundamental	primordial
funeral	entierro
fungicidas	fungicida
futuro	porvenir
fábrica	construcción
fábrica	industria
fábrica	manufactura
fábrica	planta
fábrica	taller
fútbol	futbol
gaceta	rotativo
gadolineo	gadolinio
ganancia	utilidades
ganar	triunfar
ganar	vencer
gancho	garfio
gancho	horquilla
ganga	liquidación
ganga	saldo
garage	cochera
garage	estacionamiento
garage	garaje
garaje	cochera
garaje	estacionamiento
garfio	horquilla
garrote	maza
garzón	joven
garzón	mozo
garzón	muchacho
garzón	niño
gaseoducto	gasoducto
gaseoductos	gaseoducto
gaseoductos	gasoducto
gases	gas
gasolinera	gasolineras
genes	gen
gestión	gerencia
girar	rotar
glaciares	glaciar
glaciology	glaciología
globo	mundo
globo	tierra
gobernador	gobernadora
gobernar	regir
gobierno	gabinete
gobierno	régimen
golpe	impacto
goma	pegamento
grabar	registrar
grado	nivel
gran	grande
gran	importante
gran	voluminoso
grande	importante
grande	vasto
grande	voluminoso
granja	fundo
granulometry	granulomatría
grave	abstruso
grave	hondo
grave	intenso
graveras	gravera
gris	aburridor
gritar	llamar
grito	alarido
grito	protesta
groenlandés	esquimo-groenlandés
groenlandés	groenlandés-inuktitut
groenlandés	kalaallisut
grupo	pantano
grupo	pozo
guardia	oficial
guardia	policía
guepardo	chita
h	hora
haber	ser
habitación	cuarto
habitación	dependencia
habitación	pieza
habitantes	habitante
habitual	normal
habitual	usual
habla	decir
habla	lenguaje
hablar	conversar
hacer	construir
hacer	efectuar
hacer	ejecutar
hacer	elaborar
hacer	fabricar
hacer	formar
hacer	inducir
hacer	producir
hacer	representar
hacer	trabajar
hacienda	granja
hacienda	masía
hambre	hambruna
heladas	helada
helado	refrescante
helicóptero	autogiro
heracles	hércules
herbicidas	herbicida
hercules	heracles
hercules	hércules
herir	torturar
hermano	colega
hermoso	espléndido
hermoso	precioso
hidrocarburos	hidrocarburo
hija	hijo
historia	falsedad
historia	mentira
historia	película
hogar	familia
hogar	techo
hoja	cuchilla
hombre	macho
hombre	marido
hombre	varón
hondo	abstruso
hondo	intenso
hongos	hongo
honor	laurel
honor	premio
honor	reconocimiento
honrar	admirar
honrar	venerar
horrorizar	ofender
hortalizas	hortaliza
huevo	óvulo
humano	persona
humedecer	mojar
humo	humos
huésped	invitado
húngaro	magiar
idea	concepción
idea	imagen
idea	intención
idea	pensamiento
ideolengua	conlang
idioma	lengua
idioma	lenguaje
ignorar	omitir
imbécil	tonto
imitar	calcar
implicar	suponer
importar	concernirse
importar	interesarse
imposición	impuesto
imposición	tasa
imposición	tributación
imprimir	moldear
imprimir	sellar
impuesto	tasa
impuesto	tributación
impuestos	impuesto
impuro	canallesco
impuro	cochino
impuro	colorado
impuro	desaseado
impuro	deshonesto
impuro	lascivo
impuro	malicioso
impuro	mugriento
impuro	mugroso
impuro	puerco
impuro	roñoso
incendiar	quemar
incendiario	incendiaria
incendios	incendio
incertidumbre	inseguridad
incertidumbre	irresolución
incineradores	incinerador
incluir	integrar
incorrecto	erróneo
incrementar	crecer
incremento	alza
incremento	aumento
incremento	multiplicación
individual	particular
individual	personal
industria	construcción
informar	relatar
informe	concepto
informe	memoria
informática	computación
infraestructuras	infraestructura
ingenio	poder
ingreso	ingresos
ingresos	ingreso
inicio	principio
inicio	umbral
insecticida	pesticida
insecticidas	insecticida
insecticidas	pesticida
insectos	insecto
inseguridad	aprensión
inseguridad	irresolución
inseguridad	susto
insignificante	pequeño
insignificante	trivial
inspirar	apuntar
instancia	petición
instancia	solicitud
instante	minuto
instante	momento
instante	segundo
instaurar	fundar
institución	instituto
inteligente	agudo
inteligente	astuto
intención	concepción
intención	imagen
intentar	pretender
intento	ensayo
intento	experimento
intento	prueba
intento	tentativa
interpretar	trasladar
interpréte	intérprete
interrogar	averiguar
intervención	operación
intérprete	cómico
intérprete	farandulero
inversión	inversiones
invertebrados	invertebrado
jartum	jartún
joven	mozo
joven	muchacho
joven	niño
joven	señorita
judía	alubia
judía	caraota
judía	chícharo
judía	faba
judía	frijól
judía	habichuela
judía	pocha
judía	poroto
juego	deporte
juego	presa
juez	magistrado
jugar	tocar
juicio	juicio
juicio	sentencia
juntar	reunir
justo	recto
juzgado	tribunal
kalaallisut	esquimo-groenlandés
kalaallisut	groenlandés-inuktitut
kazajo	kazako
keroseno	kerosén
kosovo	josova
ladrillos	ladrillo
lagartos	lagarto
lagos	lago
lagunas	laguna
lamentable	penoso
lamentable	triste
lanzar	arrojar
lanzar	echar
lanzar	tirar
largo	alta
largo	alto
lascivo	deshonesto
lata	frasco
laurel	premio
laurel	reconocimiento
lazo	nudo
legal	oficial
lejano	remoto
lejías	lejía
lengua	lenguaje
lenguaje	decir
letrado	letrada
levantar	acosar
levantar	realzar
levantar	subir
ley	derecho
liberar	eximir
liberar	exonerar
liberar	franquear
liberar	perdonar
libertades	libertad
libre	independiente
libro	volumen
ligero	leve
ligero	prestamente
ligero	presto
ligero	presurosamente
ligero	prontamente
ligero	raudamente
ligero	velozmente
ligero	ágil
limburgiano	limbúrgico
limburgués	limburgiano
limburgués	limbúrgico
limpiar	pulir
limpio	nítido
limpio	pobre
liso	llano
liso	plano
liso	suave
lista	repertorio
llama	incendio
llamar	telefonear
llano	plano
llano	proyecto
llano	suave
llanuras	llanura
llegar	arribar
llegar	venir
llenar	abarrotar
llevar	traer
llevar	transportar
llevar	vestir
localidad	plaza
lograr	alcanzar
lograr	obtener
luchar	batallar
luchar	combatir
luchar	contender
luchar	pelear
luchar	resistir
lugar	puesto
lugar	sitio
lugar	ubicación
luna	luna
luna	satélite
luxemburgués	luxemburguès
léxico	glosario
léxico	índice
límite	raya
línea	linea
lío	paquete
líquido	licor
maestro	educador
malabar	malayalam
malezas	maleza
malicioso	deshonesto
malicioso	lascivo
malquerer	odiar
malquerer	repugnar
mamíferos	mamífero
manantial	manantiales
mandar	remitir
mandar	transportar
mando	poder
manejar	administrar
manejar	conducir
manejar	dirigir
manejar	ingeniarse
manejar	regentar
manejar	tratar
manera	modo
manifestar	denunciar
manifestar	descubrir
manifestar	revelar
mantener	esperar
manufactura	construcción
manufactura	industria
mapa	carta
mapa	plano
mapas	mapa
mar	mares
mar	océano
marca	señal
mares	mares
margen	arista
margen	orilla
margen	vera
marida	cónyuge
marido	cónyuge
masa	multitud
masa	volumen
masía	granja
mataderos	matadero
matar	sacrificar
materia	sustancia
materia	tema
materiales	material
matiz	punto
matrimonio	unión
mazo	garrote
mazo	maza
medicamentos	medicamento
medida	tamaño
medio	ambiente
medio	media
medio	ojo
mejorar	perfeccionar
mencionar	mentar
mencionar	nombrar
menora	menorá
mentar	nombrar
mente	ánimo
mentira	falsedad
mentira	película
menudo	breve
menudo	chico
menudo	escaso
menudo	pequeño
menudo	poco
mercancías	mercancía
mes	regla
mesa	escritorio
metaloides	metaloide
metaloides	semimetal
meteorologia	meteorología
metro	metropolitano
mezquino	codicioso
mezquino	ávido
microorganismos	microorganismo
microscopía	microscopia
miedo	aprensión
miedo	inseguridad
miedo	susto
miedo	terror
mil	millar
mineral	minerales
minorias	minoría
minuto	momento
minuto	segundo
miserable	indefenso
miserable	pobre
miserable	triste
misiva	epístola
misiva	esquela
mito	leyenda
modelo	maqueta
modelos	maqueta
modelos	modelo
moderno	progresista
modificación	variación
moldear	sellar
moluscos	molusco
momento	segundo
monarca	rey
moneda	cambio
montaña	monte
monto	suma
monto	total
morada	asiento
morada	piso
morada	residencia
morada	techo
morada	vivienda
morado	violeta
mordaza	reserva
mostrar	indicar
motocompresor	compresor
motocompresores	compresor
motocompresores	motocompresor
mozo	muchacho
mozo	niño
muchacho	niño
mueble	decoración
mueble	mobiliario
muebles	mobiliario
muebles	mueble
muerte	tránsito
muerto	difunto
mugriento	canallesco
mugriento	cochino
mugriento	colorado
mugriento	desaseado
mugriento	deshonesto
mugriento	lascivo
mugriento	malicioso
mugriento	mugroso
mugriento	puerco
mugriento	roñoso
mugroso	canallesco
mugroso	cochino
mugroso	colorado
mugroso	desaseado
mugroso	deshonesto
mugroso	lascivo
mugroso	malicioso
mugroso	puerco
mugroso	roñoso
multas	multa
mumbai	bombai
mundo	pueblo
mundo	tierra
municipios	municipio
muro	pared
muro	tabique
museos	museo
mutuo	corriente
mutuo	general
mutuo	ordinario
máquina	maquinaria
método	procedimiento
método	sistema
móvil	celular
nacimiento	origen
nacimiento	parto
nacimiento	principio
nacimiento	procedencia
nacimiento	raíz
nación	país
nación	tierra
navío	embarcación
neblina	niebla
necesitar	precisar
neumático	caucho
neurotoxicity	neurotoxicidad
nevera	refrigerador
niobio	columbio
nitratos	nitrato
niue	niué
nombre	apodo
norma	estándar
norma	regla
norma	regulación
normal	usual
nota	tono
notación	ángel
novia	pareja
novio	nieto
novio	pareja
nuevo	reciente
nutrientes	nutriente
nuuk	nuuk
nítido	pobre
núcleo	sustancia
o	u
objeto	premisa
objeto	tema
observar	localizar
observar	revelar
obstáculo	obstrucción
obstáculo	problema
obtener	sacar
obtener	tomar
obviamente	ostensiblemente
ocasión	oportunidad
oculto	secreto
ocupación	trabajo
ocurrir	pasar
ocurrir	suceder
ocurrir	suceso
océanos	océano
odiar	aborrecer
odiar	rechazar
odiar	repugnar
oferta	ganga
oferta	liquidación
oferta	saldo
oficial	policía
oficio	papel
ojo	media
oleoductos	tubería
oler	aspirar
oler	olfatear
olfatear	aspirar
oligoelementos	oligoelemento
olor	hedor
olvidar	ignorar
olvidar	omitir
operación	accionamiento
operar	actuar
operar	afanar
operar	ejecutar
operar	elaborar
operar	trabajar
opinión	apreciación
opinión	concepto
opinión	conjetura
opinión	dictamen
opinión	informe
opinión	parecer
opinión	visión
oración	frase
orden	ordenación
orden	organización
orden	sistema
ordenación	organización
ordenación	sistema
ordenador	ordenador
ordinario	general
organismos	organismo
organización	sistema
organizar	aprestar
orgánulo	organela
oriente	levante
origen	principio
origen	procedencia
origen	raíz
orilla	vera
oscuro	misterioso
oscuro	obscuro
oscuro	sombrío
oído	audición
oído	oreja
pacto	contrato
pacto	trato
padre	papa
padre	papi
padre	papá
padre	viejo
pago	recompensa
palabra	oferta
palo	bastón
palo	vara
pantano	pantanos
pantano	pozo
panyabi	penyabí
panyabí	panyabi
panyabí	penyabí
papa	papá
papa	patata
papa	viejo
papera	parótidas
paperas	papera
paperas	parótidas
papá	papi
papá	viejo
par	pareja
parar	terminar
parecer	apreciación
parecer	concepto
parecer	conjetura
parecer	dictamen
parecer	informe
parecer	visión
parecido	semejante
parecido	similar
pared	tabique
pariente	clan
pariente	hogar
pariente	tribu
parte	porcentaje
parte	región
parte	sección
particular	personal
particular	singular
partido	equipo
partir	destrozar
partir	quebrar
partir	repartir
partir	romper
partir	salir
partir	separar
partículas	partícula
pasaje	tiquete
pasaje	tíquet
pasajero	pasajera
pasar	suceder
pasar	suceso
pasar	traspasar
paso	desplazamiento
pasta	suelto
pato	ánade
patrón	pauta
patrón	regla
pausa	respiro
pausa	suspensión
pausado	lento
pauta	regla
país	nación
país	tierra
paño	red
paño	tejido
paño	tela
paño	trapo
pedazo	pizca
pedazo	trozo
pedazo	viruta
pedir	demandar
pedir	solicitar
pegamento	aleurona
pekín	beijing
pelar	mondar
pelas	pasta
pelas	suelto
pelear	batallar
pelear	combatir
pelear	contender
pelear	resistir
peligro	azar
peligro	riesgo
peligros	peligro
pelo	cabello
película	falsedad
película	producción
pendiente	cuesta
pendiente	subida
penoso	triste
pensamiento	concepción
pensamiento	imagen
pensamiento	intención
pensar	fraguar
pepita	semilla
pequeño	breve
pequeño	chico
pequeño	escaso
pequeño	poco
pequeño	trivial
perdonar	excusar
perfecto	total
periodista	corresponsal
periodista	cronista
periodista	editor
periódico	diario
periódico	gaceta
periódico	rotativo
perjuicio	deterioro
perjuicio	siniestro
permanecer	esperar
permanecer	mantener
perpendicular	directo
perra	canino
perro	canino
perro	perra
persa	farsi
personaje	humano
personaje	persona
personaje	ser
personal	particular
pertenencia	propiedad
período	ciclo
pesquerías	pesquería
pesticidas	pesticida
petición	solicitud
piano	pianoforte
piedra	roca
pieza	cuarto
pieza	dependencia
pilas	pila
piscina	alberca
piscina	pileta
piso	asiento
piso	departamento
piso	pavimento
piso	planta
piso	residencia
piso	suelo
piso	techo
piso	vivienda
pizca	viruta
placer	gusto
plagas	plaga
plan	llano
plan	plano
plan	programa
plan	proyecto
plano	carta
plano	llano
plano	planos
plano	proyecto
planta	construcción
planta	industria
planta	manufactura
planta	taller
plantas	planta
plata	argento
plata	pasta
plata	pelas
plata	suelto
playas	playa
pleito	litigio
pliegue	doblez
plásticos	plástico
plátano	banana
población	ciudad
población	poblaciones
población	villa
pobre	indefenso
pobre	triste
pocha	caraota
pocha	faba
pocha	frijól
pocha	habichuela
poder	autorización
poder	potencia
poema	poesía
poema	verso
poesía	verso
polímeros	polímero
poroto	caraota
poroto	faba
poroto	frijól
poroto	habichuela
poroto	pocha
porqué	razón
portugués	portugués
poseer	tener
posible	eventual
posible	probable
posible	realizable
postcombustión	postquemador
postura	posición
potencia	autorización
pozo	pozo
pozos	pozo
pradera	praderas
precios	precio
precioso	espléndido
precipitada	precipitado
pregunta	búsqueda
preguntar	averiguar
preguntar	interrogar
preguntar	solicitar
premio	reconocimiento
prenda	ropa
prensar	prensado
preparación	capacitación
preparación	entrenamiento
preparar	aprestar
preparar	cocer
preparar	coordinar
preparar	organizar
presa	dique
presas	dique
presas	presa
presas	represa
presente	ofrenda
prestamente	presto
prestamente	presurosamente
prestamente	prontamente
prestamente	raudamente
prestamente	velozmente
presto	presurosamente
presto	prontamente
presto	raudamente
presto	velozmente
presurosamente	prontamente
presurosamente	raudamente
presurosamente	velozmente
primeramente	primer
primero	primer
primero	primera
primero	primeramente
primordial	mayor
primordial	principal
principal	mayor
principio	procedencia
principio	raíz
principio	regla
principio	umbral
probable	eventual
procedencia	raíz
procedimiento	método
procedimiento	proceso
procesar	tratar
proceso	método
producción	creación
producción	elaboración
producción	producto
producir	parir
producir	trabajar
profesor	educador
profesor	maestro
profundo	abstruso
profundo	ahuecado
profundo	grave
profundo	hondo
profundo	intenso
programa	llano
programa	plano
programa	proyecto
prontamente	raudamente
prontamente	velozmente
propender	servir
propender	tender
propiedad	bien
propietario	dueña
propietario	dueño
propietario	propietaria
proponer	aconsejar
proponer	apuntar
proponer	inspirar
proponer	sugerir
proporcionar	proveer
proporcionar	suministrar
proposición	propuesta
proposición	sugerencia
propuesta	sugerencia
protesta	alarido
protestar	amenazar
protestar	luchar
protestar	reclamar
provechoso	usable
proverbio	dicho
proyecto	contrata
proyecto	diseño
proyecto	tarea
prueba	analizar
prueba	ensayo
prueba	experimento
práctico	provechoso
práctico	usable
prójimo	vecino
psicología	sicología
publicar	sacar
puentes	puente
puerco	canallesco
puerco	cochino
puerco	colorado
puerco	desaseado
puerco	deshonesto
puerco	lascivo
puerco	malicioso
puerco	roñoso
puerta	hoja
puesto	sitio
pulgas	pulga
punto	puntillo
página	hoja
quebrar	destrozar
quebrar	romper
quehacer	empleo
quehacer	tarea
quehacer	trabajo
querer	alojar
quitar	sacar
radiación	radiacíon
radiactividad	radioactividad
radon	radón
ramadán	ramadán
ranas	rana
raudamente	velozmente
razón	motivo
realizar	construir
realizar	efectuar
realizar	ejecutar
realizar	elaborar
realizar	fabricar
realizar	formar
realizar	hacer
rechazar	declinar
rechazar	desairar
rechazar	desterrar
rechazar	excluir
rechazar	rehusar
recibidor	vestíbulo
recibo	cuenta
reclamar	amenazar
reclamar	luchar
recordar	avisar
recordar	recuperar
recto	derecho
recto	directo
recto	perpendicular
recto	vertical
recursos	recurso
red	malla
reforestación	forestación
refugiados	refugiado
regalo	presente
regentar	ingeniarse
regiones	región
regla	regulación
reglamentos	reglamento
reglamentos	regulación
regreso	retorno
regreso	vuelta
regulación	reglamento
reja	valla
relato	narración
religión	seguridad
repartir	separar
repentina	precipitada
repentina	precipitado
repentina	súbita
repentino	precipitada
repentino	precipitado
repentino	repentina
repentino	súbita
repentino	súbito
represa	dique
represa	presa
representar	significar
reptiles	reptil
residencia	asiento
residencia	techo
residencia	vivienda
residuo	desecho
residuo	escombro
residuo	lecho
residuo	residuos
residuos	desecho
resinas	resina
resoluciones	resolución
resolución	resultado
respiración	anhelo
respiración	soplo
respiración	ánimo
responsabilidad	deber
responsabilidad	responsabilidades
restante	escombro
restante	residuo
restante	resto
resto	escombro
resto	residuo
resultado	conclusión
resultado	corolario
resultado	fruto
resultado	secuela
resumir	compendiar
revelar	denunciar
revelar	descubrir
revelar	localizar
revestimientos	revestimiento
ribera	margen
riel	linea
riesgo	azar
ritmo	compás
robles	roble
robusto	estable
rocas	roca
roedores	roedor
rojizo	rojo
romper	destrozar
rosa	rosado
roñoso	canallesco
roñoso	cochino
roñoso	colorado
roñoso	desaseado
roñoso	deshonesto
roñoso	lascivo
roñoso	malicioso
ruido	brus
ruido	vibraciones
rápidamente	apresuradamente
rápidamente	aprisa
rápidamente	ejecutivamente
rápidamente	ligero
rápidamente	prestamente
rápidamente	presto
rápidamente	presurosamente
rápidamente	prontamente
rápidamente	raudamente
rápidamente	velozmente
rápido	veloz
rígido	tieso
s	segundo
sabio	formal
sabio	serio
sacar	librar
sacar	tomar
sagitario	sagitario
salamandras	salamandra
salario	sueldo
saldo	liquidación
saltar	brincar
salvar	librar
salvar	sacar
saxofón	saxófono
saúco	sambuca
secuela	conclusión
sedimentology	sedimentología
seguir	continuar
seguir	proseguir
seguro	cierto
seguros	seguro
seleccionar	preferir
selección	decisión
sello	cajetín
sello	timbre
semejante	similar
semimetal	metaloide
sentencia	juicio
separar	organizar
ser	humano
ser	persona
serenidad	calma
serenidad	dulzura
serenidad	sosiego
serenidad	tranquilidad
serio	formal
sexo	género
sierra	cordillera
sierras	cordillera
sierras	sierra
siguiente	próximo
silencio	discreción
silencio	mordaza
silencio	reserva
silencioso	callado
silvicultura	forestería
simio	mono
simpatizar	apreciar
simpatizar	considerar
simpatizar	estimar
simpático	gentil
sincero	franco
sincero	leal
siniestro	deterioro
sistema	procedimiento
sitio	lugar
sitio	ubicación
sociedad	círculo
sol	dulzura
sol	querida
solicitar	averiguar
solicitar	demandar
solicitar	interrogar
sombrío	misterioso
sometimiento	sumisión
sonido	audio
sopa	caldo
soplo	anhelo
soportar	sufrir
sorprendente	asombrosa
sorprender	asombrar
sorprender	pasmar
sorpresa	asombro
sosiego	calma
sosiego	dulzura
sosiego	tranquilidad
sostener	afirmar
sostener	aseverar
sostener	sujetar
spanish	serbia
suajelí	suajili
suajelí	swahili
suave	dulce
suave	lento
subir	acosar
subir	realzar
suburbios	suburbio
suceder	suceso
suceso	episodio
suceso	hecho
sucio	asqueroso
sucio	canallesco
sucio	cochino
sucio	colorado
sucio	desaseado
sucio	deshonesto
sucio	ensuciado
sucio	impuro
sucio	lascivo
sucio	malicioso
sucio	mugriento
sucio	mugroso
sucio	puerco
sucio	roñoso
sudamérica	suramérica
suecia	suecia
suelo	pavimento
suelo	suelos
suelo	tierra
sugerir	aconsejar
sugerir	apuntar
sugerir	inspirar
suma	total
sumar	adicionar
suministrar	proveer
superioridad	ventaja
suposición	asunción
surtida	variada
surtido	surtida
surtido	variada
surtido	variado
swahili	suajili
sólido	estable
sólido	robusto
súbita	precipitada
súbita	precipitado
súbito	precipitada
súbito	precipitado
súbito	repentina
súbito	súbita
tabla	tablero
tacaño	codicioso
tacaño	mezquino
tacaño	ávido
taller	construcción
taller	industria
taller	manufactura
tallo	pedúnculo
taludes	talud
talón	cheque
tantalio	tántalo
tapar	cercar
tapete	moqueta
tapete	tapiz
tapiz	moqueta
tardío	lento
tardío	pausado
tarea	cometido
tarea	contrata
tarea	empleo
tarea	encargo
tarea	trabajo
tarifa	tasa
tarifa	tipo
tasa	tributación
techo	asiento
techo	familia
tejido	red
tejido	tela
tejido	trapo
tela	red
tela	trapo
tele	televisión
tele	televisor
telecomunicaciones	telecomunicación
televisión	televisor
telugu	telugú
telurio	teluro
tema	premisa
temblor	escalofríos
tempestad	tormenta
tender	servir
teneduría	contaduría
tentativa	ensayo
tentativa	experimento
tentativa	prueba
termitas	termita
terremotos	terremoto
territorio	tierra
terror	aprensión
terror	inseguridad
terror	susto
tiempo	clima
tierra	tierra
tintas	tinta
tipo	tasa
tirar	arrojar
tocino	bacon
todo	totalidad
tormentas	borrasca
tormentas	tempestad
tormentas	tormenta
tortugas	tortuga
toxinas	toxina
trabajar	actuar
trabajar	afanar
trabajar	ejecutar
trabajar	elaborar
trabajo	empleo
trabajo	trabajo
traducir	interpretar
traducir	trasladar
traer	transportar
traje	atavío
tranquilidad	calma
tranquilidad	dulzura
trapo	red
trasvases	trasvase
tratamiento	trato
trazar	delinear
tribu	hogar
tribunal	corte
triste	indefenso
triunfar	vencer
tubería	conducto
tungsteno	volframio
tungsteno	wolframio
turismo	cacharro
turismo	carro
tíquet	tiquete
túneles	túnel
ungulados	ungulado
unir	asociar
unir	relacionar
universidad	academia
uno	a
urdu	urdú
usar	utilizar
uso	utilización
ustedes	vosotros
utah	utaho
vacaciones	feriado
vacaciones	vacación
vacía	vacío
vacío	vacío
valioso	precioso
valle	dolina
valles	dolina
valles	valle
vara	bastón
variado	surtida
variado	variada
varón	macho
vaso	copa
vecina	cercano
vecina	vecino
vecino	cercano
vela	bujía
vela	candela
velero	buque
velero	embarcación
velero	navío
veneno	venenos
venerar	admirar
venir	acercarse
ver	visitar
verja	reja
verja	valla
vertebrados	vertebrado
vertical	directo
vertical	perpendicular
vestido	prenda
vestido	ropa
vestido	traje
vibraciones	brus
vida	presencia
vida	vivencia
viejo	veterano
viento	brisa
villa	ciudad
visión	concepto
visión	conjetura
visión	dictamen
visión	informe
vitaminas	vitamina
vivencia	presencia
vivienda	asiento
vivienda	techo
volcanes	volcán
voleibol	balonvolea
voleibol	vóleibol
voleibol	vóley
volumen	multitud
vuelta	retorno
vóleibol	balonvolea
vóleibol	vóley
wolframio	volframio
yodo	iodo
zimbabue	zimbabwe
ácaros	ácaro
ácido	agrio
ágil	leve
ámbito	campo
ámbito	disciplina
ámbito	esfera
ámbito	marco
ámbito	área
ánimo	anhelo
ánimo	soplo
área	campo
área	disciplina
área	superficie
ático	buhardilla
ático	desván
átomo	pedazo
átomo	pizca
átomo	viruta
época	era
índice	glosario
índice	tasa
óxidos	óxido
útil	aprovechable
útil	conveniente
útil	provechoso
útil	práctico
útil	usable
